,Song Name,Artist Name,Artist Popularity,Artist Genres,Artist Followers,Danceability,Energy,Track ID,Loudness,Speechiness,Acousticness,Tempo,Key,Instrumentalness,Lyrics,Popularity,Liveness,Valence,Time Signature List,Duration,Hit
175,Amazing Day,Coldplay,88,"['permanent wave', 'pop']",15039350,0.45,0.638,3wtV2ifnHzirkAElgTGh63,-5.795,0.0273,0.0172,96.988,5,0.432,"Sat on a roof Named every star Shed every bruise and Showed every scar  Sat on a roof Your hand in mine, singing Life has a beautiful, crazy design And time seemed to say Forget the world and all its weight Here I just wanna say  Amazing day Amazing day  ...  *******  ******* ",64,0.141,0.292,3,271107,1
176,Colour Spectrum,Coldplay,88,"['permanent wave', 'pop']",15039350,0.348,0.166,3VqiD8Yvk6bKwqS1e64PHB,-20.349,0.0377,0.852,123.576,11,0.915,,59,0.137,0.0336,4,60107,1
177,Up&Up,Coldplay,88,"['permanent wave', 'pop']",15039350,0.48,0.718,31L9yLXSj6LpCFupyMV6CR,-5.461,0.0603,0.0485,163.987,7,0.000343,"Fixing up a car to drive in it again searching for the water hoping for the rain Up and Up, Up and Up  Down upon the canvas, working meal to meal Waiting for a chance to pick your orange field Up and Up, Up and Up  See a pearl form, a diamond in the rough See a bird soaring high above the flood It's in your blood, it's in your blood  Underneath the storm an umbrella is saying Sitting with the poison takes away the pain Up and Up, Up and Up it's saying  We're going to get it get it together right now Going to get it get it together somehow Going to get it get it together and flower oh oh oh oh oh oh  We're going to get it get it together I know Going to get it get it together and flow Going to get it get it together and go Up and Up, Up and Up  Lying in the gutter, aiming for the moon Trying to empty out the ocean with a spoon Up and Up, Up and Up ...  *******  ******* ",71,0.102,0.252,4,405320,1
178,Intro,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.828,0.0704,51RXhZbTM27y8DUYuQjWG7,-29.015,0.103,0.919,78.317,0,0.234,,8,0.378,0,4,22133,0
179,Apocalypse Please,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.149,0.885,6z0QCh7CTU9bE5C7TAHK4R,-5.437,0.0429,0.101,160.03,6,0.00922,Declare this an emergency Come on and spread a sense of urgency And pull us through And pull us through And this is the end This is the end  Of the world  ...  *******  ******* ,53,0.247,0.181,4,252867,1
180,Time Is Running Out,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.585,0.842,2takcwOaAZWiXQijPHIx7B,-5.883,0.0556,0.00242,118.211,9,0.00686,I think I'm drowning Asphyxiated I wanna break this spell That you've created  You're something beautiful A contradiction I wanna play the game I want the friction  You will be the death of me You will be the death of me  Bury it I won't let you bury it I won't let you smother it I won't let you murder it  Our time is running out Our time is running out ...  *******  ******* ,68,0.0866,0.428,4,237040,1
181,Sing For Absolution,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.436,0.678,1hHuyqVCZCbhYQixEkdQCo,-7.211,0.0301,0.457,170.287,5,0.0384,Lips are turning blue A kiss that can't renew I only dream of you My beautiful  Tiptoe to your room A starlight in the gloom I only dream of you And you never knew  Sing for absolution ...  *******  ******* ,57,0.0873,0.194,4,294867,1
182,Stockholm Syndrome,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.434,0.977,5VVWgWH8HFLAtM8lbttvn9,-4.845,0.0786,0.00187,128.223,2,0.166,"I won't stand in your way Let your hatred grow And she'll scream, and she'll shout, and she'll pray And she had a name Yeah, she had a name  And I won't hold you back Let your anger rise And we'll fly, and we'll fall and we'll burn No one will recall No one will recall ...  *******  ******* ",61,0.347,0.0939,4,297000,1
183,Falling Away With You,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.296,0.683,5cvFycFL4BTMA3dHSstMqi,-8.932,0.0361,0.338,95.483,0,0.195,I can't remember when it was good Moments of happiness elude Maybe I just misunderstood  All of the love we left behind Watching the flash backs intertwine Memories I will never find  So I'll love whatever you become And forget the reckless things we've done I think our lifes have just begun I think our lifes have just begun  And I'll feel my world crumbling ...  *******  ******* ,52,0.0917,0.272,4,280627,1
184,Interlude,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.158,0.202,7gmQ329Ocmvb9OImqevFBF,-19.105,0.0446,0.206,73.846,9,0.793,,48,0.132,0.257,4,37667,1
185,Hysteria,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.412,0.92,7xyYsOvq5Ec3P4fr6mM9fD,-4.852,0.0575,0.000456,93.162,9,0.0026,It's bugging me Grating me And twisting me around I'm endlessly Caving in And turning inside out  ‘Cause I want it now I want it now Give me your heart and your soul And I'm breaking out ...  *******  ******* ,69,0.11,0.455,4,227440,1
186,Blackout,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.172,0.28,2nTgdpxwpXTk5x1c9yaO3W,-11.877,0.0394,0.43,116.94,10,0.408,Don't kid yourself And don't fool yourself This love's too good to last And I'm too old to dream  ...  *******  ******* ,56,0.131,0.0617,3,262200,1
187,Butterflies and Hurricanes,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.42,0.691,0xJLcjd0gaZct43xG1UlXS,-8.56,0.0501,0.31,115.326,9,0.0427,"Change Everything you are And everything you were Your number has been called Fights, battles have begun Revenge will surely come Your hard times are ahead  Best! You've got to be the best You've got to change the world And use this chance to be heard Your time is now Your time is now ...  *******  ******* ",59,0.109,0.0383,4,301733,1
188,The Small Print,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.249,0.965,6mPJvjjx7pcfZuI57Dh95o,-3.783,0.076,0.000145,161.561,2,8.41E-05,"Take, take all you need And I'll compensate your greed With broken hearts Sell, I'll sell your memories For 15 pounds per year But just the good days  Say, it'll make you insane And it's bending the truth You're to blame For all the life that you'll lose and You watch this space But I'm going all the way ...  *******  ******* ",53,0.303,0.514,4,209000,1
189,Endlessly,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.656,0.471,131F3d3InZE2fqzTHptIgQ,-9.668,0.0351,0.814,110.175,9,0.256,"There's a part of me, you'll never know The only thing I'll never show  Hopelessly, I'll love you endlessly Hopelessly, I'll give you everything But I won't give you up I won't let you down And I won't leave you falling If the moment ever comes ...  *******  ******* ",56,0.0515,0.631,4,228933,1
190,Thoughts Of A Dying Atheist,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.26,0.946,7LB6xhGZ0jCbP3PfUDA7yw,-5.387,0.061,0.000837,178.508,3,0.0882,Eerie whispers Trapped beneath my pillow You won't let me see Your memories  And I know you're in this room I'm sure I heard you sigh Floating in between Where our worlds collide  It scares the hell out of me ...  *******  ******* ,52,0.27,0.425,4,187293,1
191,Ruled By Secrecy,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.395,0.232,5Zm5oxx8yyLKOAJf1knPmR,-12.982,0.0319,0.801,148.289,5,0.836,Repress and restrain Still the pressure and the pain Wash the blood off your hands This time she won't understand  Change in the air And they'll hide everywhere ...  *******  ******* ,49,0.131,0.0388,3,292293,1
192,Fury,Muse,80,"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4176000,0.0914,0.69,5Lwp4ZWFVxvCtcpfP22Jvm,-6.681,0.0417,0.00101,163.808,0,0.00902,You're so happy now Burning the candle at both ends Your self loving soothes And softens the blows you've invented  Breathe in deep And cleanse away our sins And we'll pray That there's no God to punish us ...  *******  ******* ,50,0.167,0.146,4,302040,1
193,Brianstorm,Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.421,0.98,5rTIpPWeO0IL4HWlGWrz5G,-4.229,0.212,8.39E-05,165.193,1,0.00125,"Brian Top marks for not trying So kind of you to bless us With your effortlessness We're grateful, so strangely comforted  And I wonder Are you putting us under 'Cause we can't take our eyes Off the t-shirt and ties combination? Well, see you later, innovator  Some want to kiss, some want to kick you There's not a net you couldn't slip through ...  *******  ******* ",56,0.237,0.435,4,170253,1
194,Teddy Picker,Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.637,0.973,4OkPamOn5GofkOQu64Z4eR,-3.386,0.112,0.000413,150.223,9,2.23E-05,"They've sped up to the point where they provoke The punchline before they have told the joke Plenty of desperation to be seen Starin' at the television screen They've sped up to the point where they provoke You to tell the fuckin' punchline before you have told the joke Well sorry, sunshine, it doesn't exist It wasn't in the Top 100 list  And it's the thousandth time that it's even bolder Don't be surprised when you get bent over They told you, but you were dyin' for it  She saw it and she grabbed it and it wasn't what it seemed ...  *******  ******* ",56,0.104,0.8,4,160640,1
195,D Is For Dangerous,Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.551,0.928,45QyGXbqTWaFUrIKe2ugs3,-4.776,0.0365,1.05E-05,145.057,1,0.000108,He knew what he wanted to say But he did not want to word it The dirty little Herbert was thinkin' an escape But the place was well-guarded The guiltiness that started Soon as the other part had stopped  D is for delightful And try and keep your trousers on I think you should know you're his favourite worst nightmare ...  *******  ******* ,50,0.145,0.736,4,134733,1
196,Balaclava,Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.417,0.824,11DdPGqDsM3ux1gVAqUIln,-4.524,0.105,0.00168,137.836,11,8.09E-05,"Running off over next door's garden Before the hour is done It's more a question of feeling Than it is a question of fun The confidence is the balaclava I'm sure you'll baffle 'em good Will the ending reek of salty cheeks And runny makeup alone?  Or will blood run down the face Of a boy bewildered and scorned And you'll find yourself in a skirmish Where you wish you'd never been born? You tie yourself to the tracks And there isn't no going back And it's wrong, wrong, wrong ...  *******  ******* ",50,0.343,0.642,4,167440,1
197,Fluorescent Adolescent,Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.646,0.813,7e8utCy2JlSB8dRHKi49xM,-5.29,0.0288,0.00178,112.115,6,2.26E-05,"You used to get it in your fishnets Now you only get it in your night dress Discarded all the naughty nights for niceness Landed in a very common crisis  Everythin's in order in a black hole Nothin' seems as pretty as the past though That Bloody Mary's lackin' in Tabasco Remember when you used to be a rascal?  Oh, the boy's a slag The best you ever had The best you ever had is just a memory and those dreams Not as daft as they seem Not as daft as they seem, my love, when you dream them up  Flickin' through a little book of sex tips Remember when the boys were all electric? Now when she's told she's gonna get it ...  *******  ******* ",68,0.144,0.821,4,173493,1
198,Only Ones Who Know,Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.257,0.409,7ABWRukVQcXrIrDKDx5Gek,-10.828,0.0363,0.899,145.759,7,0.00293,"In a foreign place, the saving grace was the feeling That it was a heart that he was stealing Oh, he was ready to impress and the fierce excitement The eyes are bright, he couldn't wait to get away And I bet that Juliet was just the icing on the cake Make no mistake, no  And even if somehow we could have ...  *******  ******* ",54,0.109,0.0794,5,181480,1
199,Do Me A Favour,Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.471,0.735,13NCxLOlvQ4Tnexgfp03Gs,-6.685,0.0582,7.84E-05,180.127,11,0.122,"Well, the mourning was complete And there was tears on the steering wheel Dripping on the seat Several hours or several weeks I'd have the cheek to say they're equally as bleak It's the beginning of the end The car went up the hill and disappeared around the bend Ask anyone, they'll tell you That it's these times that it tends ...  *******  ******* ",55,0.101,0.636,4,205240,1
200,This House Is A Circus,Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.472,0.909,7gPd55hW5pVjTm3H9S1Wbv,-5.349,0.0584,1.95E-05,155.311,7,0.00277,"This house is a circus, berserk as fuck We tend to see that as a perk though, look What it's done to your friends Their memories are pretend And the last thing that they want is for the feeling to end  This house is a circus, berserk as fuck We tend to see that as a perk though, look What it's done to your friends Their memories are pretend And the last thing that they want is for the feeling to end  There's a room for the trouble and there's lovers to be had Those walls will make sinners out of such lovely lads ...  *******  ******* ",49,0.644,0.388,4,189680,1
201,"If You Were There, Beware",Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.232,0.8,0ZUXj43fteJjwvGoLMntte,-6.853,0.0536,0.00082,201.1,4,0.0244,"If you were there, beware The serpent soul pinchers Three hundred and fifty no-thank-you's And nobody flinches  Go on, girl, go on Give us something gruesome We require your grief The thugs help the thieves  As they're trying to rob The words from her gob And take the source to the innocents  And if you were there, beware ...  *******  ******* ",49,0.128,0.224,3,274200,1
202,The Bad Thing,Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.545,0.953,48ucaKjccruxDbi3Au5ZaH,-3.737,0.0703,0.00118,111.121,2,0,"Do the Bad Thing Take off your wedding ring But it won't make it That much easier It might make it worse  Oh, the night's like a whirlwind Somebody's girlfriend's talking' to me but it's alright She's saying that he's not gonna slap me or try to attack me He's not the jealous type And I only need to get half an excuse and I'm away But when there's no excuses that's much easier to say I've been before ...  *******  ******* ",48,0.26,0.591,4,143213,1
203,Old Yellow Bricks,Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.663,0.839,3BcQFPRZuuUClWStz29WjN,-4.453,0.0695,0.000185,135.155,0,4.65E-06,"Old yellow bricks Love's a risk Quite the little Escapologist Looked so miffed When you wished For a thousand places better than this  You are the fugitive But you don't know what you're runnin' from You can't kid us And you couldn't trick anyone Houdini, love you don't know what you're runnin' away from  ...  *******  ******* ",56,0.0808,0.75,4,187133,1
204,505,Arctic Monkeys,85,"['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6653855,0.52,0.852,58ge6dfP91o9oXMzq3XkIS,-5.866,0.0543,0.00237,140.267,0,5.79E-05,"I'm going back to 505 If it's a 7 hour flight or a 45 minute drive In my imagination you're waiting lying on your side With your hands between your thighs  Stop and wait a sec Oh, when you look at me like that, my darling What did you expect? I'd probably still adore you with your hands around my neck Or I did last time I checked ...  *******  ******* ",63,0.0733,0.234,4,253587,1
205,Don't Cha,The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.879,0.643,1gZ7i4qxXkHZb1r6eioaAP,-3.709,0.0888,0.00603,120.012,1,1.42E-06,"Ok-ok-ok-ok  Yeah-yeah...  Oh, we about to get it just a lil' hot and sweaty in this muh'fucka  Ladies let's go  Soldiers let's go  Let me talk to y'all and just you know give you a little situation Listen-listen...   You see this shit get hot Every time I come through when I step up in the spot  Make the place sizzle like a summertime cookout Prowl for the best chick Yes I'm on the lookout   Slow bangin' shorty like a belly dancer with it Smell good pretty skin so gangsta with it  No tricks only diamonds under my sleeve Gimme the number But make sure you call before you leave  I know you like me  I know you do  That's why whenever I come around she's all over you  And I know you want it  It's easy to see  And in the back of your mind I know you should be fuckin' with me  Don't cha wish your girlfriend was hot like me? Don't cha wish your girlfriend was a freak like me? Don't cha? Don't cha?  Don't cha wish your girlfriend was raw like me? ...  *******  ******* ",70,0.0992,0.582,4,272080,1
206,Beep,The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.946,0.732,5TXNLJ2EENAt3Tf9MX4kT2,-6.38,0.0459,0.00922,103.691,7,0,"Ha, ha-ha, ha-ha Ha, ha-ha, ha Ha-ha, ha-ha, ha-ha Ha, ha-ha, ha  It's funny how a man only thinks about the... You got a real big heart, but I'm looking at your... You got real big brains, but I'm looking at your... Girl, there ain't no pain in me looking at your...  I don't give a... Keep looking at my... 'Cause it don't mean a thing if you're looking at my... Ha I'm a do my thing while you're playing with your... Ha, ha-ha, ha-ha, ha-ha  Every boy's the same Since I've been to the seventh grade They been trying to get with me Trying to Ha, ha-ha, ha, ha-ha They always got a plan To be my one and only man Want to hold me with their hands Want to Ha, ha-ha, ha, ha-ha  I keep turning them down But, they always come around Asking me to go around That's not the way it's going down 'Cause they only want Only want my ha, ha-ha Ha, ha-ha Only want what they want But, na, ah-ah Na, ah-ah ...  *******  ******* ",52,0.118,0.542,4,229360,1
207,Wait A Minute,The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.87,0.853,6LDasBOWaNQEGgpDLaKDnJ,-5.134,0.0478,0.0517,136.467,8,2.06E-05,"Everybody listen all over the world I got a story 'bout my favorite girl   Oh, my baby sexy for sure I had to have him when he walked through the door   She was 'bout to drive me insane She come with drama while I'm giving her chains   I'm focused but I'm losing control He only wants me for my body zone   Girl, why you do me like that? You take all my money Can't even call a player back   Boy, why you tripping like that? You think 'cause you tricking You get it just like that?   Minding my business, I was doing my thing Got my attention, so I gave him a chance   Did I mention he was buying a bar? Gave him my number, he was trying so hard   Bought me some things I didn't want, didn't need Dropped down his jeans like I'm supposed to drop to my knees   He been blowing up my phone like he know me ...  *******  ******* ",48,0.318,0.97,4,221947,1
208,Stickwitu,The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.652,0.551,4NjR63Up0uMkQBlKvlZd1l,-6.299,0.052,0.289,79.995,9,0,"I don't want to go another day So I'm telling you Exactly what is on my mind Seems like everybody is breaking up And throwing their love away But I know I got a good thing right here That's why I say, hey  Nobody gonna love me better I'mma stickwitu forever Nobody gonna take me higher I'mma stickwitu  You know how to appreciate me I'mma stickwitu u, my baby Nobody ever made me feel this way I'mma stickwitu  I don't want to go another day So I'm telling you Exactly what is on my mind See the way we ride in our private lives Ain't nobody getting in between I want you to know That you're the only one for me And I say ...  *******  ******* ",64,0.0778,0.372,4,207507,1
209,Buttons,The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.544,0.823,3BxWKCI06eQ5Od8TY2JBeA,-4.318,0.32,0.158,210.75,2,0,"I'm telling you to loosen up my buttons babe  But you keep frontin'  Sayin' what you gon' do to me  But I ain't seen nothin'   I'm telling you to loosen up my buttons babe  But you keep frontin'  Sayin' what you gon' do to me  But I ain't seen nothin'   Typical and hardly the type I fall for I'm liking the physical, don't leave me askin' for more I'm a sexy mama  Who knows just how to get what I wanna  What I wanna do is bring this on ya  Backup all the things that I told ya   You been sayin' all the right things all night long But I can't seem to get you over here to help take this off Baby can't you see  How these clothes are fittin' on me  And the heat comin' from this beat  I'm about to blow, I don't think you know  I'm telling you to loosen up my buttons babe  But you keep frontin'  Sayin' what you gon' do to me  ...  *******  ******* ",66,0.268,0.434,4,225560,1
210,I Don't Need A Man,The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.776,0.957,0XEBKZHp8imfvf9NYjV8Kg,-3.882,0.0436,0.0475,105.85,7,1.65E-05,"I see you looking at me like I got something that's for you And the way that you stare, don't you dare 'cause I'm not about to Just give it all up to you 'Cause there are some things I won't do And I'm not afraid to tell you, I don't ever wanna leave you confused The more you try, the less I buy it and I don't have to think it through You know if I'm into you I don't need a man   I don't need a man  I don't need a ring  To make me feel complete, so let me break it down I can get off when you ain't around, oh!  You know I got my own life and I bought everything that's in it So, if you wanna be with me it ain't all about the bling you bringing I want a love that's for real And without that then no deal Baby, I don't need a hand if it only wants to grab one thing ...  *******  ******* ",49,0.099,0.757,4,219093,1
211,Hot Stuff ,The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.804,0.905,4On8U4lhZvuw8hN4JBNBmd,-4.518,0.0332,0.033,124.943,8,0.000629,"Well I tried But I won't give in That's alright 'Cause I'm going to win Now I know I've got to let you go Now I see You were never meant for me  Looking for your hot stuff Baby, I need it Looking for your hot stuff Baby, tonight I want your hot stuff I got to feel it Got to have your hot stuff Got to have your love tonight  Ooh yeah I want you back Ooh yeah I want you back  I remember the love in your eye When you took my hand and said goodbye I don't know where the river flows But now I'm free I'm not going to go down again  Looking for your hot stuff ...  *******  ******* ",32,0.162,0.903,4,226733,0
212,"How Many Times, How Many Lies",The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.599,0.654,7FUNXj1tiocAaBSvD7stT6,-4.725,0.0636,0.104,99.576,7,0,,31,0.162,0.706,4,235787,0
213,Bite The Dust,The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.739,0.892,121tN8k43yvS675DZtSLuq,-3.677,0.041,0.0496,100.435,11,0.000252,"Ohh ohh Ohh ohh  Bite the dust Trust me, anything you can do I can do better than you Bite the dust Some things remain impossible You're no exception to rules  Bite the dust How many times I gotta tell you? People even see you Bite the dust You see, I'm really helping you I'm keeping you from lookin' a fool  She's got a plan to have my man She's gonna have to deal with me  Ooh, that sugar I got him Got 20/20 vision I can see that you want my man Ooh, that sugar I got him 'Cause it's my job To make you understand  Ooh, that sugar I got him Try to make a move And I'm on him like 5-0 Ooh, that sugar I got him So you can go 'Cause I got him Got him  Bite the dust ...  *******  ******* ",0,0.278,0.643,4,212787,0
214,Right Now,The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.787,0.586,6V4F3qGGKrFvB76iYG8U8D,-6.328,0.151,0.495,94.663,3,4.99E-06,Right now Let me take you by the hand Right now Put your lips at my command Right now Fly me off to lovers lane Baby Don't you leave me at the post Kiss me You can feel it coast to coast Right now Where they need your love the most  You have set my soul on fire Only you can satisfy this burning desire  Right now ...  *******  ******* ,29,0.14,0.762,4,147107,0
215,Tainted Love/ Where Did Our Love Go,The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.607,0.657,3nrQGMPiPxEwD8eLsCn5Wh,-5.466,0.144,0.0132,76.967,6,0,Sometimes I feel I've got to run away I've got to get away From the pain You drove into the heart of me The love we share Seems to go nowhere I think I've lost my light For I toss and turn I can't sleep at night  Once I ran to you  Now I run from you This tainted love you've given Give you all a girl could give you Take my tears And thats not nearly all  Tainted love Tainted love  Now I know I've got to run away I've got to get away You don't really want anymore from me ...  *******  ******* ,32,0.105,0.391,4,205520,0
216,Feelin' Good,The Pussycat Dolls,72,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2227615,0.566,0.499,5wVngALb3serXGrhpdGChK,-8.829,0.0359,0.292,137.921,5,1.86E-06,"Been flying high You know how I feel Sewn in the sky You know how I feel Breeze drifting on by You know how I feel It's a new a dawn And a new day And a new life for me And I'm feeling good So good, yeah  Fish in the sea You know how I feel Winters running free You know how I feel Bouncing on the tree You know how I feel It's a new a dawn And a new day And a new life for me ...  *******  ******* ",31,0.165,0.451,4,258760,0
217,Intrology,Snoop Dogg,85,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",3806718,0.701,0.742,4YCrejiod7RUjLJisHhiiA,-5.036,0.373,0.122,92.005,4,5.66E-06,"""logy""   As I take another choken toke of icky sticky stanky Stuff a bull, pack a pipe, twist a blunt, roll and light a joint Lean back and puff slow Whenever I'm making a record, I'm getting into my character And I'm trying to to portray something that I'm feeling so that way the whole world can believe in it  Do anybody know my name!?  What's my name!?  What's my name!?  Hold on, I want y'all to say my name like dis. ...  *******  ******* ",31,0.617,0.421,4,119107,0
218,Think About It,Snoop Dogg,85,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",3806718,0.466,0.904,7pCeKclmQx38n4LnDQFE4c,-5.244,0.327,0.0831,98.708,1,0,"Yeah man...  ""You know it's easy to talk about. doin somethin but when it comes down to the action part, the most folks take a little light vacation""  [Snoop Dogg] Mmmm. I was just thinkin to myself man Y'know this Blue Carpet Treatment record is deep to me And I need to let my peoples know how deep it is to me On some real talk like...  It's like lookin and poppin and seein whoppers and movers Despite a Guidant, I try to be hard on the low Nobody's guidance so I decided to sleep by the do' Open my mind try to slip inside my grandpa's fo' Driftin off into another stage of life Nigga paid your price and big homies made ya fight Niggas ain't wanna see ya nigga be-bop, no Toe for toe, I beat a nigga down to the flo'  [Chorus: Snoop Dogg] Incredible, forgettable, better blast, past, to move the mind Many men were eradicated by music minds Open your eyes and take your time to visualize And once you decide to move your mind in due time It's so erotic, if it ain't exotic, it's gettin naughty Freeze and groove, get rowdy, rowdy; girl move your body It's melodic, I'm bein honest and modest You done fucked off my whole rap flow, think about it  ...  *******  ******* ",35,0.756,0.724,4,217800,0
219,Crazy,Snoop Dogg,85,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",3806718,0.73,0.65,2jbYDQRvqcwW9zpQ9vopXZ,-3.909,0.258,0.285,95.114,2,5.90E-06,"Black folks can't never have no fun  These streets be crazy   These streets be crazy   Always up to no good  Crazy, crazy Always up to no good  Crazy  Have a look outside, take a stroll with me? California lifestyle, you wanna roll with me? I can take you in and out and where it's gonna be? And now it's crazy as it is, you know this home for me  I would never leave it, you know that's wrong to me I'ma gonna stay down, ya see, we doin' the corners, G At your local liquor store, gettin' some optimals And if I'm out of bounce, then I got to cock the four  Keep it on the low, on the W-W-West Coast Sign some autographs and then I do get ghost Hehe, yeah, I love my folks But half of y'all fools is cut first  On a real note, the streets that have you Guide you, lead you, mislead you, it's fragile ...  *******  ******* ",45,0.366,0.623,4,266613,0
